Contact,Day,Default,Education,Housing,Job,Loan,Marital,Month,Poutcome,Y,Age,Balance,Campaign,Duration,Pdays,Previous
telephone,17,no,unknown,no,retired,no,married,aug,failure,no,67,696,1,119,105,2
cellular,30,no,secondary,no,self-employed,yes,married,jul,unknown,no,56,784,2,149,-1,0
cellular,21,no,secondary,no,admin.,yes,married,aug,unknown,no,53,105,2,74,-1,0
telephone,14,no,secondary,no,retired,no,divorced,jul,unknown,yes,68,4189,2,897,-1,0
cellular,27,no,secondary,no,technician,no,married,aug,unknown,no,31,171,3,81,-1,0
cellular,21,no,secondary,no,management,no,married,nov,unknown,no,59,42,1,40,-1,0
cellular,26,no,tertiary,yes,management,no,single,aug,unknown,yes,32,2536,6,958,-1,0
cellular,13,no,tertiary,no,technician,no,married,aug,unknown,yes,49,1235,3,354,-1,0
unknown,14,no,secondary,yes,admin.,no,divorced,may,unknown,no,42,1811,1,150,-1,0
telephone,22,no,primary,no,retired,no,divorced,oct,unknown,yes,78,229,1,97,-1,0
cellular,14,no,secondary,yes,blue-collar,no,married,nov,unknown,yes,32,2089,1,132,-1,0
cellular,6,no,secondary,yes,management,no,married,may,failure,yes,33,3935,1,765,342,2
unknown,30,no,tertiary,yes,services,no,single,may,unknown,no,23,363,18,16,-1,0
unknown,17,no,tertiary,yes,management,no,single,nov,failure,no,38,11971,2,609,101,3
cellular,11,no,tertiary,no,management,no,single,aug,unknown,no,36,553,2,106,-1,0
cellular,13,no,secondary,yes,blue-collar,no,married,may,unknown,no,52,1117,1,365,-1,0
cellular,13,no,tertiary,yes,technician,no,married,may,unknown,no,32,396,3,205,-1,0
cellular,21,no,tertiary,yes,technician,no,single,nov,unknown,no,32,2204,4,11,-1,0
unknown,7,no,tertiary,yes,management,no,single,may,unknown,no,34,872,2,105,-1,0
telephone,2,no,primary,no,blue-collar,no,married,feb,other,no,55,145,3,59,5,2
unknown,21,no,primary,yes,blue-collar,no,married,may,unknown,no,26,0,1,425,-1,0
cellular,4,yes,primary,yes,entrepreneur,yes,single,feb,unknown,no,32,-849,1,204,-1,0
cellular,27,no,unknown,yes,admin.,no,married,jan,success,yes,61,4629,1,181,92,1
unknown,5,no,primary,no,blue-collar,no,divorced,jun,unknown,yes,45,844,3,1018,-1,0
cellular,20,no,secondary,yes,technician,no,single,aug,unknown,no,37,228,2,1740,-1,0
cellular,29,no,secondary,no,technician,no,single,aug,unknown,no,38,50,2,98,-1,0
cellular,15,no,tertiary,yes,technician,no,married,jun,other,yes,34,1539,1,441,56,1
cellular,14,no,secondary,yes,blue-collar,no,married,jul,unknown,no,53,2231,3,272,-1,0
telephone,15,no,secondary,yes,admin.,no,married,jul,unknown,no,48,3064,2,159,-1,0
telephone,4,no,secondary,no,management,yes,married,feb,unknown,no,57,82,1,140,-1,0
cellular,17,no,tertiary,no,self-employed,no,single,nov,unknown,no,33,2155,1,295,-1,0
unknown,26,no,secondary,yes,retired,yes,single,may,unknown,no,36,101,1,314,-1,0
unknown,15,no,secondary,yes,technician,yes,divorced,may,unknown,no,54,784,1,579,-1,0
telephone,8,no,primary,no,blue-collar,yes,married,jul,unknown,no,41,-516,3,554,-1,0
cellular,7,no,secondary,yes,retired,no,married,oct,unknown,no,63,415,1,323,-1,0
cellular,13,no,tertiary,no,management,no,married,aug,unknown,no,48,5887,2,227,-1,0
cellular,4,no,secondary,no,services,no,married,jul,unknown,no,48,1355,2,134,-1,0
cellular,7,no,secondary,no,admin.,no,married,oct,unknown,no,56,16873,1,223,-1,0
cellular,8,no,secondary,yes,blue-collar,no,divorced,may,failure,no,51,203,1,134,170,5
cellular,28,no,secondary,yes,services,no,married,jan,unknown,no,31,338,1,155,-1,0
cellular,21,no,secondary,yes,technician,no,married,jul,unknown,no,29,444,4,130,-1,0
cellular,7,no,secondary,no,management,yes,married,jul,unknown,no,41,0,3,630,-1,0
cellular,19,no,tertiary,no,technician,no,single,nov,unknown,no,32,360,2,164,-1,0
cellular,16,no,tertiary,no,management,no,married,jul,success,yes,37,0,2,268,182,3
unknown,5,yes,tertiary,yes,entrepreneur,no,divorced,may,unknown,no,42,2,1,380,-1,0
unknown,9,no,tertiary,yes,management,no,single,may,unknown,no,31,6248,2,154,-1,0
unknown,3,no,tertiary,yes,services,no,married,jun,unknown,no,41,412,5,154,-1,0
unknown,15,no,secondary,yes,retired,no,married,may,unknown,no,56,344,1,221,-1,0
cellular,14,no,tertiary,no,management,no,divorced,aug,unknown,no,54,3222,2,67,-1,0
cellular,14,no,secondary,yes,blue-collar,no,divorced,may,other,no,41,174,2,367,297,1
cellular,14,no,secondary,no,technician,yes,single,aug,unknown,no,40,591,6,87,-1,0
cellular,5,no,primary,no,blue-collar,no,divorced,feb,unknown,no,50,388,1,701,-1,0
cellular,17,no,secondary,yes,unemployed,no,married,nov,failure,no,40,219,2,204,196,1
cellular,16,no,secondary,yes,admin.,no,divorced,jul,unknown,yes,27,451,1,652,-1,0
cellular,26,no,primary,no,retired,no,married,aug,unknown,no,60,5,2,63,-1,0
cellular,6,no,secondary,yes,admin.,yes,single,may,unknown,no,28,177,1,150,-1,0
telephone,7,no,secondary,no,services,no,married,jul,failure,yes,52,657,2,398,460,2
cellular,30,no,tertiary,no,management,no,married,jun,unknown,yes,37,1315,1,224,-1,0
unknown,7,no,primary,yes,blue-collar,no,married,may,unknown,no,51,1466,2,406,-1,0
cellular,7,no,secondary,no,technician,yes,single,jul,unknown,no,41,879,4,60,-1,0
unknown,30,no,primary,yes,blue-collar,no,single,may,unknown,no,35,293,2,521,-1,0
cellular,17,no,secondary,yes,admin.,no,married,apr,unknown,no,38,424,1,279,-1,0
unknown,20,no,secondary,yes,blue-collar,no,married,may,unknown,no,34,1831,2,203,-1,0
cellular,18,no,primary,no,blue-collar,no,married,nov,unknown,no,39,111,2,201,-1,0
unknown,20,no,primary,yes,blue-collar,no,married,jun,unknown,no,34,455,3,372,-1,0
cellular,18,no,secondary,yes,services,no,single,may,unknown,yes,27,-195,1,391,-1,0
cellular,14,no,tertiary,no,management,no,single,aug,unknown,no,32,3616,2,165,-1,0
cellular,11,no,secondary,no,blue-collar,no,married,aug,unknown,no,57,14093,5,231,-1,0
cellular,1,no,tertiary,no,unknown,no,single,jul,unknown,no,41,1567,2,291,-1,0
unknown,14,no,tertiary,yes,admin.,no,married,may,unknown,no,41,5426,2,149,-1,0
cellular,19,no,tertiary,no,admin.,no,single,oct,failure,no,30,261,1,233,137,20
cellular,12,no,secondary,no,blue-collar,no,divorced,feb,success,no,36,2843,1,473,182,1
cellular,4,no,primary,no,unemployed,no,single,feb,unknown,yes,31,406,1,736,-1,0
unknown,6,no,secondary,yes,blue-collar,no,married,may,unknown,no,36,0,1,337,-1,0
cellular,11,no,tertiary,yes,management,no,single,may,failure,no,38,493,1,553,367,7
telephone,21,no,secondary,no,technician,no,married,nov,unknown,no,49,5996,2,345,-1,0
telephone,13,no,primary,yes,services,no,single,may,unknown,no,57,3777,2,65,-1,0
unknown,13,no,secondary,no,management,no,single,aug,unknown,no,34,524,1,9,-1,0
cellular,14,no,tertiary,yes,management,no,single,apr,failure,no,32,574,2,259,145,3
unknown,9,no,secondary,yes,blue-collar,yes,married,jun,unknown,no,37,427,3,371,-1,0
cellular,3,no,tertiary,yes,self-employed,no,married,feb,unknown,no,33,483,2,280,-1,0
cellular,21,no,primary,no,unemployed,no,married,apr,unknown,yes,56,3391,1,243,-1,0
cellular,23,no,primary,yes,housemaid,no,married,jul,unknown,no,27,0,3,435,-1,0
cellular,30,no,secondary,no,student,no,single,jun,success,yes,21,2488,6,258,169,3
telephone,29,no,tertiary,yes,management,no,married,jul,unknown,no,58,1517,5,7,-1,0
cellular,15,no,secondary,yes,self-employed,yes,married,jul,unknown,no,32,217,5,317,-1,0
cellular,30,no,secondary,no,blue-collar,no,single,jan,failure,no,33,22,2,76,207,1
telephone,26,no,secondary,no,student,no,single,aug,unknown,yes,25,331,4,170,-1,0
cellular,17,no,secondary,no,technician,yes,single,nov,unknown,yes,25,505,2,386,-1,0
cellular,18,no,secondary,yes,services,no,married,may,unknown,no,30,1808,2,83,-1,0
cellular,19,no,secondary,no,admin.,yes,single,aug,unknown,no,22,4111,1,65,-1,0
cellular,13,no,primary,no,blue-collar,no,married,aug,unknown,no,39,52,1,69,-1,0
unknown,17,no,tertiary,no,management,no,divorced,jun,unknown,no,46,25,2,564,-1,0
cellular,21,no,secondary,yes,admin.,no,divorced,jul,unknown,no,31,1890,1,588,-1,0
cellular,18,no,primary,no,blue-collar,no,married,aug,unknown,no,45,419,4,113,-1,0
unknown,21,no,secondary,yes,technician,no,married,may,unknown,no,32,2693,1,16,-1,0
cellular,15,no,secondary,no,blue-collar,yes,married,jul,unknown,no,36,-231,2,779,-1,0
cellular,11,yes,tertiary,yes,management,no,single,may,failure,no,51,-55,2,281,266,6
cellular,21,no,tertiary,no,self-employed,no,single,aug,unknown,yes,34,462,3,1877,-1,0
unknown,15,no,secondary,no,unemployed,no,single,sep,unknown,no,24,119,1,51,-1,0
cellular,28,no,secondary,no,technician,yes,single,jul,unknown,no,45,586,3,32,-1,0
telephone,5,no,secondary,no,blue-collar,no,single,feb,failure,no,32,228,1,176,288,3
cellular,14,no,tertiary,no,retired,no,divorced,apr,unknown,yes,77,4659,1,161,-1,0
cellular,18,no,primary,yes,blue-collar,no,married,nov,unknown,no,41,168,3,187,-1,0
unknown,26,no,primary,yes,blue-collar,no,married,may,unknown,no,37,0,1,24,-1,0
unknown,30,yes,unknown,yes,blue-collar,no,married,may,unknown,no,43,-715,3,67,-1,0
cellular,8,no,unknown,yes,admin.,no,married,may,failure,no,48,0,1,85,168,2
unknown,9,no,secondary,yes,technician,no,single,may,unknown,no,27,769,2,317,-1,0
cellular,28,no,tertiary,no,management,no,single,aug,unknown,no,33,0,10,236,-1,0
cellular,7,no,secondary,yes,admin.,yes,single,may,failure,no,29,428,1,54,345,2
cellular,5,no,tertiary,no,management,no,single,feb,unknown,no,34,0,1,71,-1,0
cellular,4,no,tertiary,yes,management,no,married,feb,unknown,yes,52,-970,1,489,-1,0
unknown,19,no,unknown,no,management,no,married,jun,unknown,no,60,6313,2,39,-1,0
cellular,12,no,tertiary,no,management,no,divorced,aug,unknown,no,32,948,2,204,-1,0
cellular,22,no,tertiary,yes,management,no,single,jul,unknown,no,32,0,2,455,-1,0
unknown,30,no,unknown,yes,services,no,divorced,may,unknown,no,56,1877,1,86,-1,0
cellular,18,no,tertiary,yes,management,no,single,nov,unknown,no,31,874,2,190,-1,0
unknown,8,no,secondary,yes,admin.,yes,married,may,unknown,no,42,323,2,280,-1,0
cellular,11,no,tertiary,no,management,yes,married,aug,unknown,no,35,106,2,588,-1,0
unknown,19,no,primary,no,retired,yes,married,jun,unknown,no,56,1906,9,45,-1,0
cellular,21,no,secondary,yes,technician,no,married,jul,unknown,no,48,1152,5,168,-1,0
cellular,29,no,secondary,yes,admin.,no,married,jan,other,no,46,179,4,194,436,1
unknown,8,no,unknown,yes,technician,no,single,may,unknown,no,37,391,3,103,-1,0
unknown,6,no,unknown,yes,entrepreneur,no,married,may,unknown,no,41,89,2,333,-1,0
cellular,29,no,tertiary,yes,management,yes,single,jul,unknown,no,36,442,3,102,-1,0
unknown,1,yes,primary,yes,unemployed,yes,divorced,jul,unknown,no,45,-249,1,92,-1,0
cellular,6,no,secondary,no,entrepreneur,no,married,feb,unknown,no,55,8104,2,213,-1,0
unknown,26,no,secondary,no,technician,no,married,may,unknown,no,39,501,1,289,-1,0
cellular,22,no,secondary,no,technician,no,divorced,aug,unknown,no,35,308,2,77,-1,0
cellular,1,no,secondary,no,admin.,no,married,jun,success,yes,55,602,3,324,90,2
cellular,29,no,secondary,yes,technician,no,married,jan,failure,no,55,273,3,84,183,3
cellular,29,no,secondary,no,self-employed,no,single,jan,unknown,no,27,50,1,168,-1,0
cellular,17,no,secondary,yes,technician,no,married,apr,unknown,no,34,1641,1,380,-1,0
unknown,4,no,tertiary,no,blue-collar,no,married,oct,unknown,no,34,20,1,10,-1,0
unknown,28,no,secondary,yes,admin.,no,single,may,unknown,no,25,4590,2,199,-1,0
unknown,9,no,secondary,no,admin.,yes,single,may,unknown,no,41,-256,3,35,-1,0
unknown,26,no,secondary,yes,services,yes,married,may,unknown,no,43,978,2,82,-1,0
cellular,20,no,tertiary,no,management,no,single,oct,failure,yes,28,80,2,676,146,2
unknown,3,no,secondary,yes,admin.,no,single,jun,unknown,no,31,2104,1,455,-1,0
telephone,16,no,secondary,no,housemaid,no,married,mar,unknown,no,78,499,4,80,-1,0
cellular,29,no,secondary,yes,blue-collar,no,divorced,jan,unknown,no,45,1269,2,549,-1,0
unknown,6,no,tertiary,no,technician,no,married,may,unknown,no,48,310,1,135,-1,0
cellular,10,no,secondary,yes,blue-collar,yes,single,jul,unknown,no,32,1143,1,412,-1,0
unknown,20,no,secondary,no,technician,no,married,jun,unknown,no,42,2980,3,101,-1,0
cellular,28,no,tertiary,no,management,no,single,jan,unknown,no,37,37,2,253,-1,0
cellular,6,no,secondary,yes,admin.,yes,single,apr,other,no,40,462,1,272,335,4
cellular,17,no,secondary,yes,admin.,no,married,jul,unknown,no,32,1031,1,84,-1,0
cellular,20,no,tertiary,no,management,no,married,nov,unknown,no,42,9009,2,135,-1,0
cellular,23,no,secondary,yes,admin.,yes,married,jul,unknown,no,43,-465,1,166,-1,0
cellular,31,no,secondary,yes,admin.,yes,married,jul,unknown,no,44,5181,7,18,-1,0
cellular,5,no,secondary,yes,admin.,no,married,may,failure,no,37,176,2,147,347,1
unknown,9,no,unknown,no,unknown,no,married,jun,unknown,no,37,1699,1,63,-1,0
cellular,17,no,tertiary,yes,admin.,no,married,nov,failure,no,37,0,2,65,119,1
cellular,2,no,tertiary,yes,technician,yes,single,feb,unknown,no,28,172,2,194,-1,0
cellular,11,no,secondary,no,services,yes,single,jul,unknown,no,32,0,2,333,-1,0
cellular,15,no,secondary,yes,admin.,no,single,may,unknown,no,34,6979,5,14,-1,0
unknown,11,no,secondary,no,admin.,no,divorced,jun,unknown,no,40,6,1,140,-1,0
unknown,16,no,secondary,yes,services,no,married,jun,unknown,no,34,-62,3,109,-1,0
cellular,23,no,tertiary,yes,self-employed,no,married,jul,unknown,no,34,1972,2,61,-1,0
telephone,19,no,tertiary,yes,admin.,no,married,nov,success,no,34,899,3,377,7,4
cellular,2,no,secondary,yes,services,no,single,feb,other,no,37,21,1,96,271,2
cellular,8,no,secondary,yes,technician,no,married,may,failure,no,36,23,2,152,347,1
cellular,15,no,secondary,yes,retired,no,married,jun,unknown,yes,56,-1206,2,382,-1,0
telephone,23,no,primary,yes,blue-collar,yes,married,jul,unknown,no,49,0,6,97,-1,0
cellular,29,no,secondary,yes,self-employed,no,married,jul,unknown,no,33,215,12,543,-1,0
cellular,20,no,tertiary,no,management,no,single,nov,unknown,no,30,1372,2,240,-1,0
unknown,17,no,secondary,no,services,no,married,jun,unknown,no,36,1981,2,48,-1,0
cellular,5,no,secondary,no,student,no,single,jun,unknown,no,23,9216,2,471,-1,0
cellular,30,no,secondary,yes,retired,no,divorced,jul,unknown,no,57,39,3,354,-1,0
unknown,30,no,secondary,yes,blue-collar,no,single,may,unknown,no,27,5563,2,435,-1,0
cellular,21,no,secondary,no,services,yes,married,nov,unknown,no,38,1,2,152,-1,0
cellular,3,no,tertiary,no,technician,no,married,apr,unknown,no,42,782,1,285,-1,0
telephone,15,no,secondary,no,retired,no,married,apr,success,yes,75,3771,1,185,181,2
cellular,4,no,tertiary,yes,technician,no,single,may,success,no,34,992,1,301,88,2
cellular,6,no,secondary,no,technician,no,married,aug,unknown,no,48,1526,2,273,-1,0
cellular,19,no,tertiary,yes,technician,no,single,aug,failure,yes,35,2658,2,768,141,3
cellular,19,no,tertiary,yes,management,no,divorced,nov,failure,no,39,1315,4,1337,126,1
telephone,21,no,tertiary,no,blue-collar,no,single,apr,unknown,yes,29,455,1,403,-1,0
cellular,18,no,tertiary,yes,technician,no,single,nov,unknown,no,45,0,2,139,-1,0
cellular,9,no,secondary,yes,technician,yes,married,jul,unknown,no,42,2030,1,196,-1,0
cellular,8,no,secondary,yes,technician,no,married,jul,failure,no,29,1599,1,115,61,1
cellular,2,no,secondary,yes,services,no,single,feb,failure,no,38,-196,1,60,271,1
cellular,28,no,secondary,no,retired,no,married,aug,unknown,no,56,1333,14,17,-1,0
cellular,13,no,secondary,yes,technician,no,single,aug,unknown,no,36,9149,3,141,-1,0
unknown,23,no,secondary,yes,blue-collar,no,single,jun,unknown,no,25,-350,3,95,-1,0
cellular,15,no,tertiary,yes,technician,no,married,may,other,no,38,432,2,10,373,1
cellular,19,no,secondary,no,self-employed,no,married,nov,unknown,no,57,11494,1,198,-1,0
cellular,12,yes,tertiary,no,management,no,married,aug,unknown,no,31,-253,4,220,-1,0
cellular,3,no,tertiary,yes,management,no,married,aug,unknown,yes,42,372,2,654,-1,0
cellular,11,no,secondary,no,technician,no,married,aug,unknown,no,45,1410,2,71,-1,0
cellular,13,no,secondary,yes,blue-collar,no,married,may,failure,no,30,975,2,256,351,2
telephone,10,no,primary,yes,blue-collar,yes,married,jul,unknown,no,49,305,10,834,-1,0
cellular,21,no,secondary,no,services,no,married,aug,unknown,no,49,400,3,151,-1,0
cellular,31,no,tertiary,yes,retired,no,married,jul,unknown,no,53,-22,3,20,-1,0
unknown,26,no,secondary,yes,technician,no,married,may,unknown,no,37,4030,5,178,-1,0
unknown,26,no,primary,no,blue-collar,no,married,may,unknown,no,49,365,2,59,-1,0
cellular,13,no,primary,no,self-employed,no,married,aug,unknown,no,41,204,7,111,-1,0
cellular,20,no,primary,yes,management,no,married,nov,unknown,no,54,1691,1,186,-1,0
unknown,6,no,secondary,yes,services,no,single,may,unknown,no,32,406,1,227,-1,0
cellular,15,no,secondary,no,technician,no,married,may,unknown,no,33,-204,3,297,-1,0
cellular,20,no,secondary,yes,technician,no,married,apr,other,no,33,359,1,210,242,1
cellular,18,no,primary,yes,blue-collar,no,married,may,unknown,no,36,123,1,9,-1,0
cellular,23,no,tertiary,yes,technician,yes,married,sep,other,no,35,0,1,112,62,6
cellular,25,no,secondary,no,unknown,no,married,aug,unknown,no,52,142,6,112,-1,0
unknown,9,no,tertiary,no,entrepreneur,no,married,jun,unknown,no,40,3571,3,222,-1,0
cellular,13,no,secondary,yes,technician,no,single,may,failure,no,44,33,3,195,351,10
cellular,26,no,secondary,yes,blue-collar,no,single,jul,success,no,45,0,2,768,91,5
cellular,26,no,secondary,no,student,no,single,jan,unknown,no,30,3096,1,123,-1,0
cellular,27,yes,secondary,no,technician,no,divorced,aug,unknown,no,48,20,3,145,-1,0
cellular,2,no,secondary,yes,blue-collar,no,married,apr,other,no,33,3576,1,124,308,2
unknown,5,no,unknown,yes,technician,no,married,may,unknown,no,57,206,3,216,-1,0
unknown,6,no,primary,no,housemaid,no,married,jun,unknown,no,57,7082,3,69,-1,0
cellular,22,no,tertiary,yes,unemployed,no,married,jul,unknown,no,51,1634,4,168,-1,0
cellular,22,no,secondary,yes,admin.,no,single,jul,unknown,no,34,1,7,483,-1,0
cellular,19,no,tertiary,no,self-employed,no,married,nov,unknown,no,50,4012,3,690,-1,0
cellular,28,no,tertiary,no,management,no,married,aug,unknown,no,44,3762,12,125,-1,0
unknown,4,no,secondary,yes,admin.,yes,married,jun,unknown,no,27,-247,2,344,-1,0
unknown,14,no,secondary,yes,blue-collar,no,married,may,unknown,no,50,606,2,673,-1,0
cellular,28,no,tertiary,yes,management,no,married,jan,other,no,36,0,1,60,250,1
unknown,12,no,secondary,yes,management,no,married,may,unknown,no,42,-189,2,247,-1,0
cellular,27,no,secondary,no,unemployed,no,single,may,unknown,no,32,0,2,123,-1,0
cellular,11,no,tertiary,yes,management,no,married,jul,unknown,no,42,484,2,144,-1,0
cellular,8,no,secondary,no,technician,yes,married,may,failure,no,43,0,2,9,172,5
cellular,9,no,tertiary,yes,management,no,married,feb,unknown,no,31,395,3,155,-1,0
cellular,14,no,tertiary,no,management,no,married,aug,unknown,no,32,2349,5,134,-1,0
cellular,11,no,primary,no,blue-collar,yes,divorced,jul,unknown,no,55,410,2,221,-1,0
cellular,3,no,primary,yes,retired,no,married,feb,failure,no,58,3401,3,84,265,2
cellular,8,no,primary,no,blue-collar,no,married,aug,unknown,no,46,222,2,71,-1,0
unknown,23,no,secondary,yes,blue-collar,yes,married,may,unknown,no,55,989,4,246,-1,0
cellular,23,no,tertiary,no,management,yes,married,jul,unknown,no,34,415,2,361,-1,0
cellular,12,no,secondary,no,unemployed,no,single,aug,unknown,no,28,16,4,119,-1,0
cellular,29,no,tertiary,yes,technician,no,divorced,jul,unknown,no,42,7190,2,375,-1,0
cellular,10,no,secondary,no,blue-collar,yes,single,jul,unknown,yes,29,482,3,1097,-1,0
cellular,25,no,secondary,yes,housemaid,yes,married,jul,unknown,no,54,209,1,97,-1,0
cellular,26,no,secondary,no,technician,no,single,aug,unknown,no,32,0,2,181,-1,0
cellular,2,no,tertiary,no,technician,no,single,feb,unknown,no,39,5803,3,83,-1,0
cellular,21,no,tertiary,no,entrepreneur,yes,married,jul,unknown,no,53,624,4,180,-1,0
cellular,18,no,tertiary,no,technician,no,married,aug,failure,no,58,883,1,543,78,2
unknown,23,no,secondary,yes,self-employed,yes,married,may,unknown,no,40,1516,1,373,-1,0
unknown,7,no,secondary,yes,student,no,single,may,unknown,no,29,872,1,230,-1,0
cellular,15,no,tertiary,yes,technician,yes,married,jul,unknown,no,33,-988,3,83,-1,0
telephone,31,no,secondary,yes,admin.,no,single,jul,unknown,no,38,902,13,58,-1,0
cellular,29,no,secondary,no,services,no,divorced,jul,unknown,no,56,1007,6,88,-1,0
cellular,2,no,secondary,yes,services,no,married,jun,failure,no,40,0,1,297,28,3
cellular,18,no,secondary,yes,blue-collar,yes,single,may,unknown,yes,24,174,1,487,-1,0
unknown,20,no,secondary,no,management,no,married,jun,unknown,no,46,12186,3,29,-1,0
cellular,21,no,secondary,yes,self-employed,no,married,nov,unknown,no,35,524,4,484,-1,0
cellular,21,no,tertiary,yes,blue-collar,no,single,jul,unknown,no,35,0,4,262,-1,0
unknown,15,no,secondary,yes,technician,no,married,may,unknown,no,34,4,1,644,-1,0
cellular,12,no,tertiary,no,housemaid,no,married,aug,failure,no,35,11219,2,699,79,1
cellular,28,no,tertiary,no,technician,no,single,aug,unknown,no,38,0,2,247,-1,0
cellular,18,no,primary,no,blue-collar,no,married,nov,unknown,no,50,5776,3,49,-1,0
cellular,13,no,primary,yes,blue-collar,no,divorced,may,unknown,no,51,37,1,341,-1,0
unknown,13,no,tertiary,no,self-employed,no,married,may,unknown,no,59,593,2,64,-1,0
cellular,20,no,secondary,yes,blue-collar,no,married,apr,unknown,no,32,1148,1,121,-1,0
unknown,2,no,secondary,yes,blue-collar,no,single,jun,unknown,no,37,3561,1,98,-1,0
unknown,16,no,secondary,no,admin.,no,divorced,may,unknown,no,42,63,6,88,-1,0
unknown,20,no,secondary,no,student,no,married,jun,unknown,no,40,260,6,197,-1,0
unknown,9,no,tertiary,yes,technician,no,single,may,unknown,no,28,2269,1,331,-1,0
unknown,6,no,secondary,yes,admin.,no,married,jun,unknown,no,47,1060,3,83,-1,0
unknown,26,no,secondary,yes,self-employed,no,married,may,unknown,no,27,-220,2,138,-1,0
cellular,17,no,tertiary,yes,management,no,married,jul,unknown,no,41,49,5,312,-1,0
cellular,4,no,tertiary,no,admin.,yes,married,aug,success,yes,34,69,3,120,1,6
cellular,7,no,primary,yes,blue-collar,no,married,aug,unknown,yes,50,4108,2,526,-1,0
unknown,28,no,secondary,yes,blue-collar,no,married,may,unknown,no,47,480,2,211,-1,0
cellular,18,no,secondary,no,services,no,married,aug,unknown,no,53,4994,6,62,-1,0
cellular,15,no,secondary,yes,technician,yes,divorced,jul,unknown,no,53,0,5,135,-1,0
cellular,14,no,tertiary,no,management,no,married,aug,unknown,no,47,3681,2,101,-1,0
cellular,30,yes,unknown,yes,entrepreneur,no,divorced,jul,unknown,yes,49,-701,2,988,-1,0
cellular,28,no,tertiary,no,management,no,married,jan,unknown,no,29,451,1,451,-1,0
unknown,23,no,primary,yes,blue-collar,no,divorced,may,unknown,yes,45,-311,1,1030,-1,0
cellular,24,no,secondary,yes,entrepreneur,yes,married,jul,unknown,yes,38,593,24,1484,-1,0
cellular,9,no,secondary,yes,blue-collar,no,married,apr,unknown,yes,32,759,5,317,-1,0
cellular,18,no,primary,no,retired,no,divorced,may,unknown,no,70,4531,1,445,-1,0
cellular,1,no,primary,no,retired,no,divorced,jun,failure,no,65,1840,2,383,188,5
telephone,22,no,secondary,yes,blue-collar,no,married,jul,unknown,no,56,345,1,605,-1,0
cellular,14,no,secondary,yes,blue-collar,no,married,jul,unknown,no,35,1287,2,330,-1,0
cellular,25,no,unknown,no,management,yes,married,jul,unknown,no,56,353,2,171,-1,0
cellular,23,no,secondary,no,technician,yes,married,jul,unknown,no,56,205,2,442,-1,0
cellular,17,no,secondary,yes,entrepreneur,no,married,apr,unknown,yes,49,687,1,772,-1,0
unknown,8,no,primary,yes,unemployed,yes,married,may,unknown,no,38,1147,5,249,-1,0
unknown,9,no,tertiary,yes,management,no,married,may,unknown,no,35,4286,1,357,-1,0
